Run,Channel,Mean_RMS,MeanError_RMS,RMS_of_RMS,Entries,Min,Max
1307,tq04_r5c,1.78569,0.000156966,0.0159705,10353,1.72119,1.84368
1307,tq04_r5r,1.82532,0.000159729,0.0162516,10353,1.76431,1.88572
1307,tq04_r6,1.80294,0.000157193,0.0159936,10353,1.73896,1.8593
1307,tq05_r1,1.80886,0.000159904,0.0162693,10353,1.75183,1.87572
1307,tq05_r2,1.78802,0.000159018,0.0161792,10353,1.71901,1.84858
1307,tq05_r3,1.79457,0.000158747,0.0161517,10353,1.73571,1.86473
1307,tq05_r4,2.04842,0.000171894,0.0174893,10353,1.98575,2.12921
1307,tq05_r5l,1.79499,0.000161202,0.0164015,10353,1.72615,1.85802
1307,tq05_r5c,1.75584,0.000154409,0.0157103,10353,1.69343,1.81572
1307,tq05_r5r,1.81551,0.000160354,0.0163152,10353,1.74721,1.88164
1307,tq05_r6,1.85861,0.000163286,0.0166135,10353,1.79567,1.91409
1307,tq06_r1,1.80167,0.000158459,0.0161223,10353,1.74142,1.86576
1307,tq06_r2,1.79357,0.000159458,0.016224,10353,1.73096,1.8551
1307,tq06_r3,1.78473,0.000157533,0.0160281,10353,1.72406,1.85
1307,tq06_r4,1.8399,0.000158119,0.0160877,10353,1.78545,1.90413
1307,tq06_r5l,1.85321,0.000162316,0.0165148,10353,1.79172,1.91621
1307,tq06_r5c,1.77905,0.000159921,0.0162712,10353,1.72154,1.83912
1307,tq06_r5r,1.7788,0.00015606,0.0158783,10353,1.7208,1.83769
1307,tq06_r6,1.76639,0.000156242,0.0158968,10353,1.69267,1.83635
1307,tq07_r1,1.87155,0.000162886,0.0165728,10353,1.80838,1.93292
1307,tq07_r2,1.7977,0.000166023,0.016892,10353,1.73266,1.86485
1307,tq07_r3,1.81649,0.000159352,0.0162132,10353,1.75961,1.88629
1307,tq07_r4,1.78725,0.000155801,0.015852,10353,1.72986,1.8482
1307,tq07_r5l,1.81743,0.000158798,0.0161569,10353,1.75886,1.87941
1307,tq07_r5c,1.79246,0.000160114,0.0162908,10353,1.72619,1.85608
1307,tq07_r5r,1.75857,0.000155376,0.0158087,10353,1.69449,1.81447
1307,tq07_r6,2.00983,0.000171068,0.0174053,10353,1.94527,2.07698
1307,tq08_r1,1.95859,0.000168548,0.0171489,10353,1.89595,2.02042
1307,tq08_r2,1.80868,0.000162582,0.0165419,10353,1.749,1.87871
1307,tq08_r3,2.17229,0.000179995,0.0183136,10353,2.10542,2.24369
1307,tq08_r4,1.82008,0.000162871,0.0165713,10353,1.75747,1.879
1307,tq08_r5l,1.84179,0.000163184,0.0166031,10353,1.78659,1.90372
1307,tq08_r5c,1.77376,0.000157076,0.0159817,10353,1.71198,1.83822
1307,tq08_r5r,1.81328,0.000160365,0.0163163,10353,1.74501,1.87913
1307,tq08_r6,1.85673,0.000162451,0.0165286,10353,1.79195,1.92347
1307,tq09_r1,1.82346,0.000161283,0.0164097,10353,1.76222,1.89734
1307,tq09_r2,1.80733,0.000159422,0.0162203,10353,1.7448,1.88228
1307,tq09_r3,1.7765,0.000156525,0.0159256,10353,1.71976,1.83674
1307,tq09_r4,1.77288,0.000156675,0.0159409,10353,1.71151,1.83522
1307,tq09_r5l,1.80204,0.000159509,0.0162292,10353,1.72993,1.8636
1307,tq09_r5c,1.7791,0.000159433,0.0162215,10353,1.70581,1.83853
1307,tq09_r5r,1.82618,0.000160461,0.0163261,10353,1.76326,1.88755
1307,tq09_r6,1.78305,0.000155106,0.0157812,10353,1.71346,1.85238
1307,tq10_r1,1.88763,0.000165176,0.0168058,10353,1.82558,1.9552
1307,tq10_r2,1.88382,0.00016379,0.0166648,10353,1.81888,1.96073
1307,tq10_r3,1.7874,0.00016235,0.0165183,10353,1.71896,1.846
1307,tq10_r4,1.80945,0.00015843,0.0161195,10353,1.7411,1.88092
1307,tq10_r5l,1.83101,0.00016169,0.0164511,10353,1.76417,1.89696
1307,tq10_r5c,1.78681,0.000159098,0.0161874,10353,1.72621,1.84364
1307,tq10_r5r,1.86784,0.000163066,0.0165912,10353,1.80593,1.92873
1307,tq10_r6,1.77295,0.000159236,0.0162015,10353,1.71611,1.83945
1307,tq11_r1,1.75902,0.000144648,0.0147171,10353,1.70239,1.8219
1307,tq11_r2,1.68023,0.000140729,0.0143185,10353,1.6255,1.73232
1307,tq11_r3,1.67982,0.000141049,0.014351,10353,1.62772,1.73685
1307,tq11_r4,1.8128,0.000148478,0.0151069,10353,1.75452,1.87629
1307,tq11_r5l,1.77854,0.000147621,0.0150197,10353,1.72567,1.83145
1307,tq11_r5c,1.65981,0.000138579,0.0140997,10353,1.60948,1.71412
1307,tq11_r5r,1.7027,0.000141061,0.0143522,10353,1.6546,1.75643
1307,tq11_r6,1.74674,0.000144722,0.0147247,10353,1.68907,1.80095
1307,tq12_r1,1.77492,0.000148014,0.0150596,10353,1.72057,1.82616
1307,tq12_r2,1.69042,0.000140905,0.0143364,10353,1.63744,1.74608
1307,tq12_r3,1.73152,0.000143737,0.0146245,10353,1.67944,1.78236
1307,tq12_r4,1.6595,0.000137772,0.0140176,10353,1.60277,1.71339
1307,tq12_r5l,1.68989,0.000139992,0.0142435,10353,1.63409,1.74275
1307,tq12_r5c,1.68736,0.000141009,0.0143469,10353,1.6364,1.7419
1307,tq12_r5r,1.73719,0.000144698,0.0147223,10353,1.68713,1.80088
1307,tq12_r6,1.66548,0.000137757,0.014016,10353,1.61554,1.71896
1307,tq13_r1,1.77564,0.000145706,0.0148248,10353,1.71942,1.82747
1307,tq13_r2,1.72186,0.000142566,0.0145053,10353,1.66977,1.77019
1307,tq13_r3,2.01821,0.000160284,0.0163081,10353,1.95175,2.07454
1307,tq13_r4,1.68051,0.000138019,0.0140427,10353,1.62317,1.74035
1307,tq13_r5l,1.69656,0.000140601,0.0143054,10353,1.64926,1.75514
1307,tq13_r5c,1.72744,0.000143156,0.0145653,10353,1.66708,1.7779
1307,tq13_r5r,1.8071,0.000146217,0.0148768,10353,1.75381,1.87219
1307,tq13_r6,1.73569,0.000145165,0.0147698,10353,1.67321,1.80063
1307,tq14_r1,1.71607,0.000143425,0.0145927,10353,1.66152,1.77009
1307,tq14_r2,1.70281,0.000140853,0.014331,10353,1.65229,1.76745
1307,tq14_r3,1.76418,0.000148343,0.0150931,10353,1.70107,1.82256
1307,tq14_r4,1.69912,0.000143274,0.0145774,10353,1.65016,1.75399
1307,tq14_r5l,1.69399,0.000142145,0.0144625,10353,1.63872,1.74831
1307,tq14_r5c,1.71629,0.00014205,0.0144529,10353,1.65532,1.78739
1307,tq14_r5r,1.83247,0.000150371,0.0152995,10353,1.78016,1.89555
1307,tq14_r6,1.71405,0.000145305,0.0147841,10353,1.65925,1.76648
1307,tq15_r1,1.72736,0.000144032,0.0146545,10353,1.67676,1.78025
1307,tq15_r2,1.6741,0.000140011,0.0142454,10353,1.61913,1.73063
1307,tq15_r3,1.82346,0.000150657,0.0153286,10353,1.76443,1.87696
1307,tq15_r4,1.71207,0.000143044,0.0145539,10353,1.65851,1.76763
1307,tq15_r5l,1.76392,0.00014647,0.0149025,10353,1.71118,1.81803
1307,tq15_r5c,1.6517,0.000136769,0.0139155,10353,1.59606,1.70828
1307,tq15_r5r,1.83601,0.000152435,0.0155095,10353,1.77652,1.90694
1307,tq15_r6,1.68426,0.00013985,0.014229,10353,1.61779,1.74112
1307,tq16_r1,1.75591,0.000145292,0.0147827,10353,1.70082,1.81621
1307,tq16_r2,1.76508,0.000145307,0.0147843,10353,1.70811,1.82013
1307,tq16_r3,1.72159,0.000142237,0.0144719,10353,1.66103,1.77813
1307,tq16_r4,1.68034,0.00013886,0.0141282,10353,1.62903,1.72847
1307,tq16_r5l,1.74582,0.000143606,0.0146111,10353,1.68791,1.806
1307,tq16_r5c,1.82415,0.00015019,0.0152811,10353,1.77133,1.87437
1307,tq16_r5r,1.73711,0.000145373,0.014791,10353,1.67914,1.79591
1307,tq16_r6,1.66372,0.000139266,0.0141696,10353,1.60709,1.71634
1307,tq17_r1,1.74885,0.000144287,0.0146804,10353,1.69362,1.8149
1307,tq17_r2,1.68985,0.000140232,0.0142678,10353,1.6288,1.74223
1307,tq17_r3,1.68311,0.000139677,0.0142114,10353,1.62542,1.75023
1307,tq17_r4,1.71127,0.000141682,0.0144154,10353,1.65863,1.77158
1307,tq17_r5l,1.75268,0.000145118,0.014765,10353,1.69561,1.81222
1307,tq17_r5c,1.69844,0.000141528,0.0143997,10353,1.64129,1.75702
1307,tq17_r5r,1.74812,0.000145161,0.0147694,10353,1.6966,1.80227
1307,tq17_r6,1.73233,0.000142754,0.0145245,10353,1.67821,1.79253
1307,tq18_r1,1.73281,0.000144191,0.0146707,10353,1.68475,1.78863
1307,tq18_r2,1.69794,0.000140101,0.0142546,10353,1.64303,1.75542
1307,tq18_r3,1.84339,0.000150915,0.0153548,10353,1.78669,1.90493
1307,tq18_r4,1.66009,0.000138488,0.0140904,10353,1.60982,1.71127
1307,tq18_r5l,1.67181,0.000139294,0.0141724,10353,1.61707,1.72589
1307,tq18_r5c,1.72698,0.00014244,0.0144926,10353,1.67373,1.78012
1307,tq18_r5r,1.78762,0.000146975,0.0149539,10353,1.72729,1.84243
1307,tq18_r6,1.73516,0.000145123,0.0147656,10353,1.67751,1.79642
1307,tq19_r1,1.67296,0.000137502,0.0139901,10353,1.61005,1.72563
1307,tq19_r2,1.69475,0.000142463,0.0144949,10353,1.62595,1.74828
1307,tq19_r3,1.80656,0.000148097,0.0150681,10353,1.74567,1.85678
1307,tq19_r4,1.67619,0.000138173,0.0140584,10353,1.61908,1.73713
1307,tq19_r5l,1.74219,0.000143416,0.0145918,10353,1.6885,1.79694
1307,tq19_r5c,1.71827,0.000142991,0.0145486,10353,1.66698,1.77391
1307,tq19_r5r,1.73043,0.000144228,0.0146745,10353,1.67591,1.77939
1307,tq19_r6,1.71971,0.000143016,0.0145511,10353,1.66613,1.78186
1307,tq20_r1,1.70177,0.000140881,0.0143339,10353,1.64041,1.76039
1307,tq20_r2,1.66795,0.000137492,0.013989,10353,1.61136,1.71923
1307,tq20_r3,1.70418,0.0001403,0.0142748,10353,1.65401,1.76815
1307,tq20_r4,1.69489,0.000142456,0.0144942,10353,1.63968,1.75109
1307,tq20_r5l,1.74557,0.00014423,0.0146747,10353,1.68381,1.79549
1307,tq20_r5c,1.69658,0.000139826,0.0142265,10353,1.64366,1.74931
1307,tq20_r5r,1.7043,0.000143088,0.0145585,10353,1.65437,1.76743
1307,tq20_r6,1.70944,0.000140914,0.0143373,10353,1.65743,1.76885
1307,tq21_r1,1.69555,0.000141929,0.0144405,10353,1.64502,1.74534
1307,tq21_r2,1.68752,0.000139072,0.0141499,10353,1.63312,1.7498
1307,tq21_r3,1.65955,0.000139622,0.0142058,10353,1.60638,1.71566
1307,tq21_r4,1.72193,0.000144378,0.0146897,10353,1.66338,1.78079
1307,tq21_r5l,1.70178,0.000141414,0.0143881,10353,1.64631,1.75337
1307,tq21_r5c,1.6935,0.000139658,0.0142095,10353,1.63932,1.74357
1307,tq21_r5r,1.72299,0.000143334,0.0145835,10353,1.67271,1.77899
1307,tq21_r6,1.67472,0.000136754,0.013914,10353,1.62518,1.72055
1307,tq22_r1,1.69414,0.000142768,0.0145259,10353,1.63937,1.74806
1307,tq22_r2,1.66179,0.000138748,0.0141169,10353,1.60396,1.71177
1307,tq22_r3,1.66095,0.000136802,0.0139189,10353,1.61135,1.715
1307,tq22_r4,1.75384,0.000147487,0.015006,10353,1.70158,1.80855
1307,tq22_r5l,1.70833,0.000142047,0.0144526,10353,1.64603,1.76279
1307,tq22_r5c,1.76753,0.000148185,0.0150771,10353,1.71173,1.82562
1307,tq22_r5r,1.7378,0.000143697,0.0146204,10353,1.6873,1.79245
1307,tq22_r6,1.6687,0.000138567,0.0140985,10353,1.60898,1.72261
1307,tq23_r1,1.65782,0.000137887,0.0140293,10353,1.60577,1.70998
1307,tq23_r2,1.69717,0.000141189,0.0143652,10353,1.63763,1.74894
1307,tq23_r3,2.03731,0.000159957,0.0162747,10353,1.97462,2.10211
1307,tq23_r4,1.65121,0.000137874,0.0140279,10353,1.59973,1.70264
1307,tq23_r5l,1.73811,0.000141804,0.0144278,10353,1.68312,1.79576
1307,tq23_r5c,1.69405,0.000139196,0.0141625,10353,1.64145,1.74396
1307,tq23_r5r,1.67336,0.000139556,0.0141991,10353,1.61557,1.72556
1307,tq23_r6,1.66859,0.00013849,0.0140907,10353,1.60753,1.72941
1307,tq24_r1,1.73647,0.000142927,0.0145421,10353,1.67609,1.79614
1307,tq24_r2,1.72695,0.000145179,0.0147712,10353,1.669,1.78018
1307,tq24_r3,1.76156,0.000145054,0.0147585,10353,1.70594,1.8177
1307,tq24_r4,1.715,0.000142266,0.0144748,10353,1.65365,1.76678
1307,tq24_r5l,1.70495,0.000144897,0.0147425,10353,1.65134,1.75764
1307,tq24_r5c,1.66324,0.00013861,0.0141028,10353,1.61203,1.71655
1307,tq24_r5r,1.68257,0.000140182,0.0142628,10353,1.63114,1.73625
1307,tq24_r6,1.69892,0.000142084,0.0144563,10353,1.64181,1.75587
1307,tq25_r1,1.74027,0.000142794,0.0145286,10353,1.68889,1.79927
1307,tq25_r2,1.66925,0.000139192,0.014162,10353,1.61906,1.72082
1307,tq25_r3,1.70611,0.00014236,0.0144844,10353,1.6511,1.76179
1307,tq25_r4,1.70742,0.000142767,0.0145258,10353,1.65072,1.76201
1307,tq25_r5l,1.69929,0.000142621,0.014511,10353,1.64926,1.75151
1307,tq25_r5c,1.70003,0.00014054,0.0142993,10353,1.64153,1.75588
1307,tq25_r5r,1.67275,0.000139529,0.0141963,10353,1.61938,1.72403
1307,tq25_r6,1.66534,0.000139893,0.0142333,10353,1.60945,1.72474
1307,tq26_r1,1.6999,0.000141486,0.0143954,10353,1.64309,1.75002
1307,tq26_r2,1.69813,0.000141549,0.0144018,10353,1.64449,1.7549
1307,tq26_r3,1.68238,0.000140055,0.0142499,10353,1.61072,1.73996
1307,tq26_r4,1.68879,0.000140218,0.0142665,10353,1.63693,1.74742
1307,tq26_r5l,1.68605,0.000140496,0.0142947,10353,1.6376,1.74944
1307,tq26_r5c,1.68741,0.000139342,0.0141774,10353,1.63669,1.73698
1307,tq26_r5r,1.70632,0.000142242,0.0144724,10353,1.6571,1.77369
1307,tq26_r6,1.67431,0.000138895,0.0141319,10353,1.61798,1.72751
1307,tq27_r1,1.69067,0.000141778,0.0144252,10353,1.63301,1.74868
1307,tq27_r2,1.66509,0.0001378,0.0140204,10353,1.6139,1.71681
1307,tq27_r3,1.66772,0.000138225,0.0140637,10353,1.61017,1.72172
1307,tq27_r4,1.70469,0.000142315,0.0144798,10353,1.65383,1.76171
1307,tq27_r5l,1.75625,0.000145845,0.014839,10353,1.70704,1.82827
1307,tq27_r5c,1.78968,0.000146279,0.0148831,10353,1.7247,1.84605
1307,tq27_r5r,1.71359,0.00014114,0.0143602,10353,1.664,1.77421
1307,tq27_r6,1.73401,0.000144494,0.0147015,10353,1.68054,1.78861
1307,tq28_r1,1.7704,0.000148069,0.0150652,10353,1.70863,1.82594
1307,tq28_r2,1.70438,0.000141574,0.0144045,10353,1.64882,1.76342
1307,tq28_r3,1.70601,0.000141803,0.0144277,10353,1.65096,1.75691
1307,tq28_r4,1.70186,0.000142565,0.0145052,10353,1.65033,1.75164
1307,tq28_r5l,1.69863,0.000140091,0.0142535,10353,1.65133,1.75638
1307,tq28_r5c,1.81768,0.000151015,0.015365,10353,1.75278,1.88548
1307,tq28_r5r,1.70912,0.000139904,0.0142345,10353,1.6539,1.76105
1307,tq28_r6,1.71724,0.000141902,0.0144378,10353,1.66028,1.77394
1307,tq29_r1,1.68226,0.000138474,0.014089,10353,1.62223,1.73498
1307,tq29_r2,1.65844,0.000136743,0.0139129,10353,1.60763,1.70847
1307,tq29_r3,1.69929,0.000140081,0.0142525,10353,1.6477,1.75415
1307,tq29_r4,1.70821,0.000141657,0.0144128,10353,1.65687,1.76446
1307,tq29_r5l,1.66943,0.000138579,0.0140997,10353,1.60725,1.72388
1307,tq29_r5c,1.6588,0.000136678,0.0139063,10353,1.60592,1.71766
1307,tq29_r5r,1.72576,0.00014225,0.0144732,10353,1.66307,1.7822
1307,tq29_r6,1.69688,0.000142885,0.0145378,10353,1.63749,1.75297
1307,tq30_r1,1.74973,0.000145233,0.0147767,10353,1.69484,1.8052
1307,tq30_r2,1.68218,0.000139268,0.0141698,10353,1.6247,1.7366
1307,tq30_r3,1.67293,0.000139598,0.0142033,10353,1.60434,1.7248
1307,tq30_r4,1.72199,0.000141339,0.0143806,10353,1.66666,1.776
1307,tq30_r5l,1.75735,0.000143909,0.014642,10353,1.70098,1.81417
1307,tq30_r5c,1.76101,0.000146023,0.0148571,10353,1.70459,1.82042
1307,tq30_r5r,1.72957,0.000142567,0.0145054,10353,1.67295,1.78228
1307,tq30_r6,1.71004,0.000141553,0.0144023,10353,1.65105,1.76832
1307,tq31_r1,1.7107,0.000141661,0.0144133,10353,1.65068,1.77043
1307,tq31_r2,1.70158,0.000142869,0.0145362,10353,1.64861,1.75595
1307,tq31_r3,1.87921,0.000156332,0.015906,10353,1.81588,1.93976
1307,tq31_r4,1.73145,0.000146318,0.0148871,10353,1.676,1.7858
1307,tq31_r5l,1.68112,0.000140645,0.0143099,10353,1.6286,1.73824
1307,tq31_r5c,1.79484,0.000149888,0.0152503,10353,1.73205,1.85873
1307,tq31_r5r,1.71066,0.000142813,0.0145304,10353,1.65216,1.76651
1307,tq31_r6,1.67891,0.000138143,0.0140553,10353,1.62744,1.73484
1307,tq32_r1,1.74124,0.000143788,0.0146297,10353,1.68621,1.80109
1307,tq32_r2,1.74055,0.000146053,0.0148601,10353,1.68254,1.79918
1307,tq32_r3,1.70677,0.000139856,0.0142296,10353,1.64286,1.76265
1307,tq32_r4,1.7112,0.000141829,0.0144303,10353,1.64752,1.76573
1307,tq32_r5l,1.68033,0.000139401,0.0141833,10353,1.6261,1.73123
1307,tq32_r5c,1.68819,0.000141627,0.0144098,10353,1.63744,1.74424
1307,tq32_r5r,1.66098,0.000137851,0.0140257,10353,1.59864,1.71612
1307,tq32_r6,1.70491,0.000140761,0.0143217,10353,1.65321,1.75348
1307,tq33_r1,1.64766,0.00013526,0.013762,10353,1.60026,1.69659
1307,tq33_r2,1.78078,0.000148887,0.0151485,10353,1.71201,1.83461
1307,tq33_r3,1.734,0.00014267,0.0145159,10353,1.68368,1.80151
1307,tq33_r4,1.71545,0.000140494,0.0142945,10353,1.66212,1.77457
1307,tq33_r5l,1.68628,0.000139835,0.0142275,10353,1.63582,1.74247
1307,tq33_r5c,1.79131,0.000148441,0.0151031,10353,1.73014,1.848
1307,tq33_r5r,1.6773,0.000140585,0.0143038,10353,1.62102,1.73103
1307,tq33_r6,1.72209,0.000141661,0.0144133,10353,1.66355,1.78177
1307,tq34_r1,1.66134,0.000138007,0.0140415,10353,1.60925,1.71431
1307,tq34_r2,1.75848,0.000145593,0.0148133,10353,1.70435,1.81975
1307,tq34_r3,1.69261,0.00014023,0.0142677,10353,1.64089,1.74625
1307,tq34_r4,1.69889,0.000142008,0.0144486,10353,1.64117,1.74887
1307,tq34_r5l,1.75481,0.000148924,0.0151522,10353,1.69819,1.81385
1307,tq34_r5c,1.67823,0.000140515,0.0142966,10353,1.62632,1.73141
1307,tq34_r5r,1.6912,0.000142512,0.0144998,10353,1.63892,1.74202
1307,tq34_r6,1.67384,0.000140098,0.0142542,10353,1.61761,1.7282
