Run,Channel,Entries,Mean,MeanError,RMS,Min,Max
1307,tq26_r4,10353,1.6888,0.000140319,0.0142774,1.63693,1.74742
1307,tq26_r5l,10353,1.68606,0.000140616,0.0143076,1.6376,1.74944
1307,tq26_r5c,10353,1.68741,0.000139411,0.014185,1.63669,1.73698
1307,tq26_r5r,10353,1.70633,0.000142377,0.0144868,1.6571,1.77369
1307,tq26_r6,10353,1.67431,0.000138977,0.0141409,1.61798,1.72751
1307,tq27_r1,10353,1.69068,0.000141875,0.0144357,1.63301,1.74868
1307,tq27_r2,10353,1.66509,0.000137877,0.014029,1.6139,1.71681
1307,tq27_r3,10353,1.66773,0.00013831,0.014073,1.61017,1.72172
1307,tq27_r4,10353,1.70469,0.000142408,0.0144899,1.65383,1.76171
1307,tq27_r5l,10353,1.75626,0.000145997,0.0148551,1.70704,1.82827
1307,tq27_r5c,10353,1.78968,0.000146366,0.0148927,1.7247,1.84605
1307,tq27_r5r,10353,1.7136,0.000141247,0.0143719,1.664,1.77421
1307,tq27_r6,10353,1.73401,0.000144576,0.0147105,1.68054,1.78861
1307,tq28_r1,10353,1.77041,0.000148152,0.0150744,1.70863,1.82594
1307,tq28_r2,10353,1.70438,0.000141676,0.0144154,1.64882,1.76342
1307,tq28_r3,10353,1.70601,0.000141874,0.0144357,1.65096,1.75691
1307,tq28_r4,10353,1.70187,0.000142632,0.0145127,1.65033,1.75164
1307,tq28_r5l,10353,1.69863,0.000140189,0.0142642,1.65133,1.75638
1307,tq28_r5c,10353,1.81769,0.000151142,0.0153787,1.75278,1.88548
1307,tq28_r5r,10353,1.70913,0.00013998,0.0142429,1.6539,1.76105
1307,tq28_r6,10353,1.71724,0.000141994,0.0144478,1.66028,1.77394
1307,tq29_r1,10353,1.68226,0.000138555,0.0140979,1.62223,1.73498
1307,tq29_r2,10353,1.65844,0.000136815,0.0139209,1.60763,1.70847
1307,tq29_r3,10353,1.69929,0.000140167,0.014262,1.6477,1.75415
1307,tq29_r4,10353,1.70821,0.000141747,0.0144227,1.65687,1.76446
1307,tq29_r5l,10353,1.66944,0.000138666,0.0141092,1.60725,1.72388
1307,tq29_r5c,10353,1.6588,0.000136783,0.0139176,1.60592,1.71766
1307,tq29_r5r,10353,1.72576,0.000142341,0.0144832,1.66307,1.7822
1307,tq29_r6,10353,1.69688,0.000142974,0.0145476,1.63749,1.75297
